target_region,target_sector,source_country,source_value,source_share,account,indicator,target_sector_value,unit
SE,Health and social work services (85),AT,11951055.552421503,0.020408163265306124,CBA,economic_importance,60441.09048122,M.EUR
SE,Health and social work services (85),AU,11951055.552421503,0.020408163265306124,CBA,economic_importance,60441.09048122,M.EUR
SE,Health and social work services (85),BE,11951055.552421503,0.020408163265306124,CBA,economic_importance,60441.09048122,M.EUR
SE,Health and social work services (85),BG,11951055.552421503,0.020408163265306124,CBA,economic_importance,60441.09048122,M.EUR
SE,Health and social work services (85),BR,11951055.552421503,0.020408163265306124,CBA,economic_importance,60441.09048122,M.EUR
SE,Health and social work services (85),CA,11951055.552421503,0.020408163265306124,CBA,economic_importance,60441.09048122,M.EUR
SE,Health and social work services (85),CH,11951055.552421503,0.020408163265306124,CBA,economic_importance,60441.09048122,M.EUR
SE,Health and social work services (85),CN,11951055.552421503,0.020408163265306124,CBA,economic_importance,60441.09048122,M.EUR
SE,Health and social work services (85),CY,11951055.552421503,0.020408163265306124,CBA,economic_importance,60441.09048122,M.EUR
SE,Health and social work services (85),CZ,11951055.552421503,0.020408163265306124,CBA,economic_importance,60441.09048122,M.EUR
SE,Construction work (45),AT,11540133.172283279,0.02040816326530612,CBA,economic_importance,57700.6658621867,M.EUR
SE,Construction work (45),AU,11540133.172283279,0.02040816326530612,CBA,economic_importance,57700.6658621867,M.EUR
SE,Construction work (45),BE,11540133.172283279,0.02040816326530612,CBA,economic_importance,57700.6658621867,M.EUR
SE,Construction work (45),BG,11540133.172283279,0.02040816326530612,CBA,economic_importance,57700.6658621867,M.EUR
